group,subnum,expression,GroupCount,nanmean_t_data_1119,nanmean_t_data_1120,nanmean_t_data_1121,nanmean_t_data_1122,nanmean_t_data_1123,nanmean_t_data_1124,nanmean_t_data_1125,nanmean_t_data_1126,nanmean_t_data_1127,nanmean_t_data_1128,nanmean_t_data_1129,nanmean_t_data_1130,nanmean_t_data_1131,nanmean_t_data_1132,nanmean_t_data_1133,nanmean_t_data_1134,nanmean_t_data_1135,nanmean_t_data_1136,nanmean_t_data_1137,nanmean_t_data_1138,nanmean_t_data_1139,nanmean_t_data_1140,nanmean_t_data_1141,nanmean_t_data_1142,nanmean_t_data_1143,nanmean_t_data_1144,nanmean_t_data_1145,nanmean_t_data_1146,nanmean_t_data_1147,nanmean_t_data_1148,nanmean_t_data_1149,nanmean_t_data_1150,nanmean_t_data_1151,nanmean_t_data_1152,nanmean_t_data_1153,nanmean_t_data_1154,nanmean_t_data_1155,nanmean_t_data_1156,nanmean_t_data_1157,nanmean_t_data_1158,nanmean_t_data_1159,nanmean_t_data_1160,nanmean_t_data_1161,nanmean_t_data_1162,nanmean_t_data_1163,nanmean_t_data_1164,nanmean_t_data_1165,nanmean_t_data_1166,nanmean_t_data_1167,nanmean_t_data_1168,nanmean_t_data_1169,nanmean_t_data_1170,nanmean_t_data_1171,nanmean_t_data_1172,nanmean_t_data_1173,nanmean_t_data_1174,nanmean_t_data_1175,nanmean_t_data_1176,nanmean_t_data_1177,nanmean_t_data_1178,nanmean_t_data_1179,nanmean_t_data_1180,nanmean_t_data_1181,nanmean_t_data_1182,nanmean_t_data_1183,nanmean_t_data_1184,nanmean_t_data_1185,nanmean_t_data_1186,nanmean_t_data_1187,nanmean_t_data_1188,nanmean_t_data_1189,nanmean_t_data_1190,nanmean_t_data_1191,nanmean_t_data_1192,nanmean_t_data_1193,nanmean_t_data_1194,nanmean_t_data_1195,nanmean_t_data_1196,nanmean_t_data_1197,nanmean_t_data_1198,nanmean_t_data_1199,nanmean_t_data_11100,nanmean_t_data_11101,nanmean_t_data_11102,nanmean_t_data_11103,nanmean_t_data_11104,nanmean_t_data_11105,nanmean_t_data_11106,nanmean_t_data_11107,nanmean_t_data_11108,nanmean_t_data_11109,nanmean_t_data_11110,nanmean_t_data_11111,nanmean_t_data_11112,nanmean_t_data_11113,nanmean_t_data_11114,nanmean_t_data_11115,nanmean_t_data_11116,nanmean_t_data_11117,nanmean_t_data_11118,nanmean_t_data_11119,nanmean_t_data_11120,nanmean_t_data_11121,nanmean_t_data_11122,nanmean_t_data_11123,nanmean_t_data_11124,nanmean_t_data_11125,nanmean_t_data_11126,nanmean_t_data_11127,nanmean_t_data_11128,nanmean_t_data_11129,nanmean_t_data_11130,nanmean_t_data_11131,nanmean_t_data_11132,nanmean_t_data_11133,nanmean_t_data_11134,nanmean_t_data_11135,nanmean_t_data_11136,nanmean_t_data_11137,nanmean_t_data_11138,nanmean_t_data_11139,nanmean_t_data_11140,nanmean_t_data_11141,nanmean_t_data_11142,nanmean_t_data_11143,nanmean_t_data_11144,nanmean_t_data_11145,nanmean_t_data_11146,nanmean_t_data_11147,nanmean_t_data_11148,nanmean_t_data_11149,nanmean_t_data_11150,nanmean_t_data_11151,nanmean_t_data_11152,nanmean_t_data_11153,nanmean_t_data_11154,nanmean_t_data_11155,nanmean_t_data_11156,nanmean_t_data_11157,nanmean_t_data_11158,nanmean_t_data_11159,nanmean_t_data_11160,nanmean_t_data_11161,nanmean_t_data_11162,nanmean_t_data_11163,nanmean_t_data_11164,nanmean_t_data_11165,nanmean_t_data_11166,nanmean_t_data_11167,nanmean_t_data_11168,nanmean_t_data_11169,nanmean_t_data_11170,nanmean_t_data_11171,nanmean_t_data_11172,nanmean_t_data_11173,nanmean_t_data_11174,nanmean_t_data_11175,nanmean_t_data_11176,nanmean_t_data_11177,nanmean_t_data_11178,nanmean_t_data_11179,nanmean_t_data_11180,nanmean_t_data_11181,nanmean_t_data_11182,nanmean_t_data_11183,nanmean_t_data_11184,nanmean_t_data_11185,nanmean_t_data_11186,nanmean_t_data_11187,nanmean_t_data_11188,nanmean_t_data_11189,nanmean_t_data_11190,nanmean_t_data_11191,nanmean_t_data_11192,nanmean_t_data_11193,nanmean_t_data_11194,nanmean_t_data_11195,nanmean_t_data_11196,nanmean_t_data_11197,nanmean_t_data_11198,nanmean_t_data_11199,nanmean_t_data_11200,nanmean_t_data_11201,nanmean_t_data_11202,nanmean_t_data_11203,nanmean_t_data_11204,nanmean_t_data_11205,nanmean_t_data_11206,nanmean_t_data_11207,nanmean_t_data_11208,nanmean_t_data_11209,nanmean_t_data_11210,nanmean_t_data_11211,nanmean_t_data_11212,nanmean_t_data_11213,nanmean_t_data_11214,nanmean_t_data_11215,nanmean_t_data_11216,nanmean_t_data_11217,nanmean_t_data_11218,nanmean_t_data_11219,nanmean_t_data_11220,nanmean_t_data_11221,nanmean_t_data_11222,nanmean_t_data_11223,nanmean_t_data_11224,nanmean_t_data_11225,nanmean_t_data_11226,nanmean_t_data_11227,nanmean_t_data_11228,nanmean_t_data_11229
1,2171,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.125,0.125,0.125,0.125,0.125,0.1875,0.25,0.3125,0.375,0.4375,0.5,0.5625,0.6875,0.8125,0.9375,1.125,1.3125,1.5,1.6875,1.9375,2.1875,2.4375,2.6875,2.9375,3.1875,3.4375,3.6875,3.9375,4.1875,4.375,4.625,4.9375,5.25,5.625,6,6.3125,6.625,6.9375,7.25,7.625,8,8.375,8.6875,9.0625,9.4375,9.75,10.0625,10.375,10.6875,10.9375,11.1875,11.4375,11.6875,11.9375,12.1875,12.4375,12.6875,12.9375,13.1875,13.5,13.6875,13.9375,14.125,14.3125,14.5,14.75,15,15.1875,15.375,15.5,15.5625,15.75,15.875,15.9375,16,16.0625,16.1875,16.3125,16.375,16.375,16.375,16.4375,16.5625,16.6875,16.8125,16.875,16.9375,17,17.0625,17,17,16.9375,16.8125,16.6875,16.625,16.5,16.4375,16.3125,16.0625,15.75,15.5625,15.3125,15.125,14.9375,14.6875,14.4375,14.1875,13.9375,13.75,13.5625,13.375,13.125,12.8125,12.5,12.1875,12,11.625,11.375,11.0625,10.8125,10.6875,10.5,10.375,10.1875,9.875,9.5625,9.1875,8.9375,8.875,8.9375,8.8125,8.6875,8.5625,8.375,8.25,8.125,8,7.9375,7.8125,7.75,7.6875,7.6875,7.6875,7.75,7.75,7.625,7.75,7.6875,7.625,7.5625,7.5,7.5,7.5625,7.625,7.8125,8,8.125,8.3125,8.375,8.4375,8.6875,8.8125,8.875,9,9.25,9.4375,9.5,9.5625,9.75,9.875,10,10,10.0625,10.125
1,2181,1,16,2.125,2.375,2.625,2.875,3.125,3.375,3.625,3.875,4.125,4.375,4.625,4.875,5.125,5.375,5.625,5.875,6.0625,6.1875,6.375,6.5,6.5625,6.5625,6.625,6.5625,6.4375,6.25,6.0625,5.875,5.6875,5.5,5.375,5.1875,5,4.8125,4.625,4.4375,4.25,4,3.8125,3.625,3.5,3.375,3.25,3.125,3,2.875,2.8125,2.875,2.875,2.875,3,3.0625,3.0625,3.1875,3.3125,3.4375,3.5625,3.75,3.9375,4.1875,4.3125,4.5,4.6875,4.9375,5.25,5.5625,5.875,6.3125,6.6875,7.0625,7.4375,7.8125,8.125,8.4375,8.75,9.0625,9.375,9.625,9.9375,10.3125,10.5625,10.875,11.125,11.4375,11.75,12.0625,12.375,12.625,12.875,13.125,13.4375,13.75,14.0625,14.3125,14.5,14.6875,14.8125,14.875,14.875,14.875,14.8125,14.75,14.8125,14.875,14.9375,15.0625,15.1875,15.3125,15.375,15.4375,15.5625,15.625,15.8125,15.8125,15.8125,15.875,15.9375,16,16.0625,16,15.9375,15.875,15.8125,15.75,15.6875,15.5625,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.4375,15.375,15.25,15.125,15,14.875,14.75,14.5625,14.4375,14.25,14.125,14,13.75,13.5625,13.3125,13.0625,12.875,12.6875,12.5,12.25,12,11.75,11.5,11.3125,11.0625,10.9375,10.8125,10.6875,10.5625,10.375,10.25,10.125,10,9.875,9.75,9.625,9.4375,9.1875,9,8.8125,8.6875,8.5625,8.5,8.375,8.375,8.4375,8.375,8.375,8.3125,8.3125,8.375,8.4375,8.5625,8.6875,8.8125,8.75,8.6875,8.625,8.5625,8.4375,8.3125,8.1875,8.0625,7.875,7.6875,7.5,7.375,7.3125,7.1875,7,6.8125,6.625,6.4375,6.25,6,5.6875,5.5,5.25
1,2241,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.0625,0.125,0.25,0.5625,0.875,1.125,1.4375,1.8125,2.25,2.6875,3.1875,3.6875,4.25,4.8125,5.375,5.875,6.375,6.875,7.4375,8.0625,8.6875,9.3125,9.8125,10.375,10.9375,11.5,12.0625,12.625,13.1875,13.6875,14.25,14.75,15.1875,15.4375,15.75,16.125,16.4375,16.75,17.0625,17.375,17.6875,17.9375,18.1875,18.375,18.5625,18.8125,19.0625,19.3125,19.5,19.625,19.6875,19.75,19.9375,20,20.0625,20.0625,20.125,20.1875,20.25,20.25,20.25,20.1875,20.125,20,19.75,19.5,19.25,18.9375,18.5625,18.1875,17.75,17.375,16.8125,16.3125,15.8125,15.25,14.75,14.375,14,13.625,13.3125,13,12.625,12.375,12.0625,11.75,11.4375,11.125,10.8125,10.625,10.375,10.1875,10,9.875,9.8125,9.75,9.6875,9.6875,9.625,9.5625,9.5,9.4375,9.5625,9.6875,9.8125,10,10.125,10.125,10.0625,10,9.875,9.6875,9.625,9.5,9.4375,9.5,9.4375,9.375,9.3125,9.1875,9.125,9.0625,9,8.9375,8.875,8.8125,8.75,8.6875,8.6875,8.6875,8.6875,8.625,8.5,8.375,8.25,8.125,8.0625,8,8,8,8,8.0625,8.0625,8,7.9375,7.8125,7.75,7.75,7.6875,7.5625,7.4375,7.375,7.3125,7.25,7.25,7.25,7.25,7.1875,7.125,7.0625,7,7,7,7,7,7,6.875,6.75,6.625,6.5,6.4375,6.375,6.3125,6.375,6.4375,6.4375,6.4375,6.375,6.375,6.4375,6.5,6.5625,6.625,6.6875,6.6875,6.6875,6.6875
1,2291,1,16,3.1875,3.5625,4.0625,4.5,4.9375,5.4375,6.0625,6.6875,7.3125,7.9375,8.5625,8.9375,9.4375,9.9375,10.625,11.1875,11.75,12.375,12.9375,13.5,14.0625,14.5,14.9375,15.4375,15.9375,16.1875,16.5,16.75,16.875,16.9375,16.9375,17.125,17.1875,17.3125,17.5,17.5625,17.5,17.4375,17.4375,17.4375,17.4375,17.5625,17.5625,17.5,17.3125,17.25,17.1875,17.125,17.125,17.1875,17.25,17.375,17.5,17.625,17.6875,17.75,17.875,18.0625,18.3125,18.5625,18.6875,18.8125,18.9375,19.0625,19.125,19.1875,19.3125,19.5,19.625,19.75,19.875,20.0625,20.25,20.4375,20.625,20.6875,20.75,20.6875,20.625,20.625,20.625,20.5625,20.625,20.5625,20.375,20.25,20.0625,19.8125,19.4375,19,18.625,18.25,17.9375,17.6875,17.4375,17.125,16.8125,16.4375,16,15.5625,15.125,14.625,14.0625,13.6875,13.3125,12.9375,12.5625,12.3125,12,11.625,11.25,10.9375,10.5,10.0625,9.6875,9.25,8.8125,8.4375,8.1875,8,7.875,7.75,7.5625,7.3125,7,6.8125,6.5625,6.3125,6.1875,5.9375,5.6875,5.5625,5.5,5.25,5,4.8125,4.625,4.375,4.1875,4.0625,3.9375,3.8125,3.6875,3.625,3.625,3.625,3.6875,3.6875,3.625,3.5625,3.5625,3.4375,3.375,3.3125,3.3125,3.3125,3.3125,3.3125,3.1875,3.1875,3.1875,3.125,3.0625,3.0625,3.0625,3.0625,3.0625,3.0625,3.0625,2.9375,2.8125,2.75,2.6875,2.5625,2.4375,2.3125,2.1875,2.0625,2,2,1.9375,1.9375,1.875,1.875,1.75,1.6875,1.5625,1.5,1.5,1.5625,1.625,1.6875,1.6875,1.75,1.8125,1.8125,1.8125,1.8125,1.8125,1.875,1.9375,1.9375,1.9375,2,2.125,2.1875,2.25,2.3125,2.4375,2.5,2.5625
1,2341,1,16,0.125,0.1875,0.25,0.375,0.5,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5625,2.6875,2.8125,2.9375,3.0625,3.1875,3.3125,3.4375,3.5625,3.625,3.6875,3.6875,3.6875,3.625,3.5625,3.5,3.4375,3.375,3.375,3.375,3.375,3.3125,3.25,3.1875,3.125,3.0625,3.0625,3.0625,3.0625,3,2.875,2.8125,2.75,2.6875,2.625,2.5625,2.5,2.375,2.3125,2.25,2.125,2.0625,2,1.9375,1.875,1.8125,1.75,1.6875,1.625,1.5,1.4375,1.375,1.375,1.3125,1.25,1.25,1.1875,1.125,1.0625,1.0625,1.0625,1.0625,1.125,1.1875,1.25,1.3125,1.375,1.5,1.5625,1.625,1.75,1.9375,2.0625,2.1875,2.375,2.5625,2.75,2.9375,3.0625,3.3125,3.4375,3.625,3.75,3.9375,4.125,4.3125,4.5,4.625,4.75,4.75,4.75,4.8125,4.75,4.75,4.8125,4.875,4.8125,4.75,4.6875,4.625,4.5625,4.5,4.5,4.5625,4.5625,4.5,4.4375,4.375,4.3125,4.1875,4.125,4.0625,3.9375,3.875,3.8125,3.625,3.4375,3.375,3.3125,3.4375,3.5625,3.5625,3.625,3.625,3.5625,3.5,3.5625,3.625,3.6875,3.8125,3.9375,3.9375,4,4,4,4.0625,4.125,4.1875,4.25,4.3125,4.375,4.4375,4.625,4.75,4.875,5.0625,5.25,5.375,5.5625,5.6875,5.8125,6,6.1875,6.375,6.5,6.75,7,7.3125,7.5625,7.75,7.9375,8.3125,8.625,8.8125,8.875,8.9375,9.125,9.25,9.4375,9.5625,9.6875,9.875,9.9375,9.875,9.875,9.875,9.8125,9.75,9.625,9.5625,9.5,9.4375,9.4375,9.4375,9.5,9.4375,9.375,9.3125,9.25,9.0625,9.0625
1,2171,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.125,0.1875,0.25,0.3125,0.375,0.4375,0.5,0.5625,0.625,0.6875,0.75,0.8125,0.9375,1,1.125,1.25,1.375,1.5625,1.8125,2.0625,2.3125,2.5625,2.8125,3.0625,3.3125,3.5625,3.8125,4.0625,4.3125,4.5625,4.75,4.9375,5.125,5.3125,5.5,5.6875,5.875,6.0625,6.25,6.5,6.75,7,7.1875,7.375,7.5625,7.8125,8.0625,8.3125,8.375,8.4375,8.5625,8.6875,8.75,8.875,9,9.0625,9.125,9.1875,9.25,9.375,9.4375,9.5,9.5625,9.625,9.6875,9.75,9.8125,9.875,9.9375,10,10,10,10,10,9.9375,9.8125,9.6875,9.5,9.4375,9.4375,9.375,9.3125,9.4375,9.5,9.5,9.5,9.5,9.625,9.75,9.8125,9.875,9.9375,10,10.0625,10.125,10.25,10.4375,10.6875,10.9375,11,11.125,11.25,11.5,11.75,12.0625,12.3125,12.625,12.9375,13.1875,13.4375,13.6875,13.9375,14.0625,14.125,14.3125,14.5625,14.75,14.8125,14.8125,14.9375,15.1875,15.375,15.5625,15.75,15.9375,15.9375,15.875,15.6875,15.5625,15.5625,15.5625,15.5625,15.4375,15.3125,15.1875,15.0625,14.875,14.625,14.375,14.0625,13.75,13.5,13.25,13,12.75,12.5,12.3125,12.125,12,11.75,11.4375
1,2181,2,16,3.6875,3.9375,4.1875,4.5,4.875,5.25,5.5625,5.9375,6.1875,6.5625,6.875,7.1875,7.5625,7.8125,8,8.25,8.5625,8.9375,9.125,9.375,9.5625,9.75,9.9375,9.9375,9.9375,9.875,9.9375,10,10,10,10.125,10.25,10.375,10.5,10.625,10.75,10.875,10.875,11,10.9375,10.875,10.875,10.75,10.75,10.75,10.6875,10.625,10.5,10.625,10.625,10.6875,10.75,10.75,10.75,10.75,10.875,10.9375,10.875,10.8125,10.8125,10.8125,10.875,11,11,11.0625,11.125,11.25,11.4375,11.625,11.875,12.1875,12.5,12.875,13.25,13.625,14,14.3125,14.625,14.875,15.1875,15.5,15.8125,16.0625,16.25,16.4375,16.625,16.625,16.75,16.9375,16.9375,16.9375,17,17,17.0625,17,17,17,17,17,17,17,16.9375,16.875,16.8125,16.75,16.5625,16.375,16.1875,16,15.75,15.5,15.25,15.0625,14.875,14.6875,14.4375,14.375,14.25,14.0625,14,13.875,13.6875,13.5,13.3125,13.125,12.9375,12.75,12.625,12.4375,12.25,12.0625,11.875,11.6875,11.5,11.375,11.375,11.375,11.375,11.375,11.4375,11.5,11.5,11.4375,11.4375,11.375,11.3125,11.1875,11.0625,10.9375,10.8125,10.75,10.6875,10.625,10.625,10.625,10.5625,10.5,10.375,10.3125,10.25,10.1875,10.1875,10.1875,10.25,10.1875,10.125,10.0625,9.875,9.6875,9.5,9.3125,9.1875,9.0625,8.9375,8.875,8.8125,8.8125,8.8125,8.8125,8.8125,8.8125,8.8125,8.8125,8.75,8.6875,8.625,8.5625,8.5625,8.5,8.4375,8.375,8.25,8.125,7.9375,7.8125,7.6875,7.5,7.4375,7.375,7.1875,7,6.875,6.8125,6.75,6.6875,6.625,6.5625,6.5,6.4375,6.375,6.3125
1,2241,2,16,0.4375,0.5,0.5625,0.6875,0.8125,0.9375,1.0625,1.1875,1.375,1.5625,1.6875,1.8125,1.9375,2.0625,2.125,2.1875,2.25,2.3125,2.4375,2.5625,2.6875,2.8125,2.9375,3.125,3.1875,3.3125,3.375,3.4375,3.5,3.5625,3.625,3.75,4,4.25,4.5,4.875,5.25,5.625,5.9375,6.25,6.625,7.0625,7.5,7.9375,8.4375,8.9375,9.375,9.875,10.375,10.8125,11.1875,11.625,12.1875,12.6875,13.25,13.75,14.3125,14.9375,15.625,16.3125,17,17.625,18.25,18.6875,19.125,19.4375,19.6875,19.9375,20.1875,20.4375,20.75,20.9375,21.125,21.4375,21.75,22.0625,22.375,22.625,22.875,23.125,23.4375,23.75,23.9375,24.0625,24.1875,24.3125,24.4375,24.5,24.5,24.5,24.5,24.5,24.375,24.375,24.4375,24.4375,24.5,24.5625,24.5625,24.625,24.625,24.5625,24.4375,24.125,23.8125,23.5,23.1875,23,22.75,22.5,22.0625,21.5,20.875,20.375,19.875,19.375,18.875,18.375,17.875,17.25,16.625,15.9375,15.25,14.5625,13.8125,13.125,12.4375,11.75,11.125,10.4375,9.75,9.1875,8.6875,8.25,7.8125,7.375,7,6.5,6,5.5625,5.3125,5.125,5,4.75,4.5,4.25,4,3.75,3.5,3.375,3.25,3.1875,3.125,3.0625,3,2.9375,2.875,2.8125,2.8125,2.8125,2.9375,3.0625,3.125,3.1875,3.25,3.25,3.3125,3.375,3.4375,3.5625,3.6875,3.8125,3.9375,4.125,4.25,4.375,4.4375,4.5,4.5625,4.5625,4.625,4.6875,4.75,4.875,4.9375,5,5.0625,5.125,5.125,5.125,5,4.9375,4.9375,4.9375,4.9375,5,5,5.0625,5.125,5.0625,5,4.9375,4.9375,4.8125,4.75,4.75,4.8125,4.9375,5.0625,5.3125,5.5
1,2291,2,16,1.9375,2.25,2.4375,2.75,3.0625,3.375,3.6875,4,4.3125,4.5625,4.875,5.1875,5.4375,5.8125,6.125,6.4375,6.875,7.1875,7.5,8,8.4375,8.8125,9.125,9.375,9.625,9.75,9.8125,9.875,10.125,10.3125,10.4375,10.5625,10.875,11.125,11.375,11.75,12,12.375,12.625,13,13.3125,13.5625,13.9375,14.25,14.5625,14.9375,15.1875,15.5625,15.875,16.0625,16.375,16.75,17.125,17.5625,17.9375,18.3125,18.625,18.9375,19.125,19.3125,19.5625,19.8125,19.9375,20,20.125,20.0625,20.0625,20,20.0625,20.125,20.125,20.1875,20.1875,20.125,20.125,20.0625,20,19.8125,19.6875,19.4375,19.1875,18.8125,18.5625,18.3125,18.0625,17.75,17.625,17.4375,17.1875,17,16.8125,16.75,16.75,16.6875,16.5625,16.375,16.1875,15.9375,15.6875,15.4375,15.25,15.0625,14.875,14.75,14.5,14.25,14,13.875,13.8125,13.75,13.6875,13.75,13.75,13.5625,13.375,13.25,13,12.8125,12.75,12.625,12.4375,12.125,11.8125,11.625,11.375,11.25,11.1875,11.0625,10.9375,10.6875,10.375,10.125,9.9375,9.6875,9.5625,9.4375,9.3125,9.125,8.9375,8.8125,8.5625,8.3125,8.0625,8,8,7.875,7.75,7.625,7.4375,7.1875,7,6.8125,6.625,6.375,6.1875,5.9375,5.6875,5.5,5.3125,5.1875,5.125,5,4.8125,4.625,4.4375,4.3125,4.1875,4.125,3.9375,3.75,3.6875,3.625,3.5625,3.375,3.125,3.0625,3,2.9375,2.875,2.8125,2.75,2.6875,2.6875,2.6875,2.6875,2.75,2.8125,2.8125,2.875,2.9375,3,3.0625,3.125,3.1875,3.25,3.25,3.25,3.3125,3.375,3.5,3.5625,3.625,3.6875,3.75,3.8125,3.875,3.9375,4,4.0625,4.1875,4.3125
1,2341,2,16,2.5625,2.75,2.875,3.0625,3.1875,3.375,3.5,3.625,3.75,3.8125,3.875,3.875,3.875,3.9375,4,4.0625,4.125,4.1875,4.25,4.25,4.3125,4.375,4.375,4.375,4.3125,4.25,4.1875,4.125,4,3.875,3.75,3.625,3.5625,3.4375,3.375,3.25,3.125,3,2.875,2.8125,2.75,2.75,2.75,2.6875,2.625,2.5,2.4375,2.375,2.3125,2.3125,2.1875,2.125,2,1.875,1.8125,1.75,1.6875,1.625,1.5625,1.5,1.4375,1.4375,1.375,1.3125,1.3125,1.25,1.1875,1.125,1.0625,1,1,1,1,0.9375,0.875,0.875,0.8125,0.75,0.6875,0.625,0.625,0.5625,0.5625,0.5625,0.5,0.4375,0.375,0.3125,0.3125,0.375,0.4375,0.4375,0.5,0.5,0.5,0.5625,0.6875,0.8125,0.9375,1.125,1.25,1.3125,1.3125,1.375,1.5,1.6875,1.875,2,2.125,2.3125,2.5,2.625,2.8125,2.9375,3.125,3.25,3.375,3.5,3.625,3.6875,3.75,3.875,3.9375,4.0625,4.125,4.25,4.3125,4.3125,4.25,4.1875,4.1875,4.1875,4.25,4.375,4.4375,4.5,4.4375,4.4375,4.4375,4.375,4.3125,4.3125,4.3125,4.375,4.375,4.4375,4.5,4.5625,4.625,4.75,4.75,4.75,4.8125,4.875,4.875,4.875,4.875,4.9375,5.0625,5.0625,5,5,5.0625,5.125,5.1875,5.1875,5.375,5.5625,5.6875,5.8125,5.9375,6.0625,6.125,6.25,6.375,6.5,6.625,6.6875,6.75,6.75,6.8125,7,7.125,7.1875,7.375,7.4375,7.4375,7.4375,7.4375,7.625,7.875,8.0625,8.1875,8.25,8.25,8.3125,8.3125,8.3125,8.375,8.5625,8.6875,8.8125,8.9375,8.9375,8.9375,8.9375,8.9375,8.9375,8.9375,9,9.0625
